Index,NASDAQ100_TOTAL_RETURN
Symbol,XNDX
Source,Nasdaq Global Index Watch ExportHistory/HistoryData
Date,Close,High,Low,NetChange
2016-06-30,4925.19181934188,4925.48556953088,4860.39094965427,59.04482789784
2016-07-29,5276.4028047307,5290.93054667932,5260.27084292684,9.84060215391
2016-08-31,5333.28698831131,5337.90869849906,5311.64379460923,-5.52247095095
2016-09-30,5452.5216161178,5467.66104171355,5420.32271336184,41.82146386522
2016-10-31,5371.54420865715,5396.87843073822,5371.42252345177,-4.83587831858
2016-11-30,5394.74387450751,5473.17202626157,5394.74387450751,-69.95817077539
2016-12-30,5456.6406181668,5527.92098176073,5445.76974513407,-61.32089892785
2017-01-31,5742.89014440899,5742.93146295123,5708.72517441384,-14.09788409705
2017-02-28,5993.80953988769,6013.10522627928,5978.51551546505,-19.39040359985
2017-03-31,6116.52183655181,6133.69647924392,6106.70017759746,-3.94853857154
2017-04-28,6285.19565242295,6303.73415450477,6275.82497797387,13.78607783071
2017-05-31,6529.02028380526,6556.60574987891,6499.41988919134,-6.57570679315
2017-06-30,6372.50083751192,6411.96936794544,6362.14462731868,-6.88700595317
2017-07-31,6638.30214841615,6697.055949708,6628.66271611251,-32.27416296844
2017-08-31,6773.28083870174,6781.01856821461,6725.03954417408,63.0024197178
2017-09-29,6765.48120938114,6766.52386673147,6710.62533398886,52.30827738015
2017-10-31,7073.45485507788,7084.61966782446,7051.48413543558,23.73359370467
2017-11-30,7219.39653908675,7229.17436771474,7169.34323674588,61.45488372685
2017-12-29,7256.86843717269,7309.17563120319,7256.86843717269,-51.05152399471
2018-01-31,7888.24041187837,7926.40591910833,7849.07286780362,21.85888816645
2018-02-28,7792.3354959283,7917.08419243029,7792.3354959283,-52.2161830536
2018-03-29,7485.67765235305,7553.50505405068,7320.23389562757,136.85298991673
2018-04-30,7516.38930493846,7638.06204502178,7502.77001197568,-57.78548858334
2018-05-31,7943.13351867454,7998.63615563929,7929.75574594381,-9.84648492031
2018-06-29,8029.89195082103,8099.48805242587,8019.16998827639,10.48992706716
2018-07-31,8251.50985466718,8298.26023445355,8191.52693599679,44.35997878639
2018-08-31,8746.93357260588,8771.96168081698,8717.21224686417,13.57956342821
2018-09-28,8721.54524267123,8746.30246131176,8688.4309724497,-2.19822290637
2018-10-31,7969.75453900237,8042.28920326523,7920.56409828181,179.55911097295
2018-11-30,7962.59175180748,7965.01390754735,7874.67788983435,64.87188918065
2018-12-31,7259.55199960175,7300.17224634277,7195.30227187402,51.25599896086
2019-01-31,7924.35378338955,7958.20415372403,7845.27912619594,113.5006830142
