Index,NASDAQ100
Symbol,^NDX
Date,Open,High,Low,Close,Adj Close,Volume
1985-10-01,110.62000274658203,116.125,106.75,115.4800033569336,115.4800033569336,3716680000
1985-11-01,115.4800033569336,126.43499755859375,115.4800033569336,126.05999755859375,126.05999755859375,3681760000
1985-12-01,126.05999755859375,133.18499755859375,124.72000122070312,132.2949981689453,132.2949981689453,4469640000
1986-01-01,132.2949981689453,134.1300048828125,128.05499267578125,132.9250030517578,132.9250030517578,4821700000
1986-02-01,132.9250030517578,141.8300018310547,132.9250030517578,140.4250030517578,140.4250030517578,4647400000
1986-03-01,140.4250030517578,149.2050018310547,139.56500244140625,148.86000061035156,148.86000061035156,5191800000
1986-04-01,148.86000061035156,160.9499969482422,144.8300018310547,154.91000366210938,154.91000366210938,5629200000
1986-05-01,154.91000366210938,163.6199951171875,153.72500610351562,163.16000366210938,163.16000366210938,4824640000
1986-06-01,163.16000366210938,163.97999572753906,156.86500549316406,162.61500549316406,162.61500549316406,5138800000
1986-07-01,162.61500549316406,164.55999755859375,142.72999572753906,144.7050018310547,144.7050018310547,4822080000
1986-08-01,144.7050018310547,152.55499267578125,140.17999267578125,151.6999969482422,151.6999969482422,4203080000
1986-09-01,151.6999969482422,152.07000732421875,133.27999877929688,137.4949951171875,137.4949951171875,4406360000
1986-10-01,137.52000427246094,145.17999267578125,137.40499877929688,144.47999572753906,144.47999572753906,4305780000
1986-11-01,144.47999572753906,147.9600067138672,138.9550018310547,147.94000244140625,147.94000244140625,4149540000
1986-12-01,147.94000244140625,150.85000610351562,140.94500732421875,141.40499877929688,141.40499877929688,5217780000
1987-01-01,141.40499877929688,170.27499389648438,141.40499877929688,166.6750030517578,166.6750030517578,6369240000
1987-02-01,166.7050018310547,184.72999572753906,166.5800018310547,182.75,182.75,6059400000
1987-03-01,182.75,191.7449951171875,179.86500549316406,186.0399932861328,186.0399932861328,6610000000
1987-04-01,186.0399932861328,192.4600067138672,177.50999450683594,184.8300018310547,184.8300018310547,6054000000
1987-05-01,184.8300018310547,191.6999969482422,179.73500061035156,188.77000427246094,188.77000427246094,5567400000
1987-06-01,188.77000427246094,193.36000061035156,184.44000244140625,189.24000549316406,189.24000549316406,6549800000
1987-07-01,189.24000549316406,197.30499267578125,186.56500244140625,196.35000610351562,196.35000610351562,6759000000
1987-08-01,196.35000610351562,212.1649932861328,194.09500122070312,209.5749969482422,209.5749969482422,6272000000
1987-09-01,209.5749969482422,210.77999877929688,196.13499450683594,205.5050048828125,205.5050048828125,6185800000
1987-10-01,205.5050048828125,214.02999877929688,126.25,150.07000732421875,150.07000732421875,8148400000
1987-11-01,150.07000732421875,154.1199951171875,133.13999938964844,137.125,137.125,4994700000
1987-12-01,137.125,158.4199981689453,129.46499633789062,156.25,156.25,5887420000
1988-01-01,156.25,169.13999938964844,151.57000732421875,159.1300048828125,159.1300048828125,4930480000
1988-02-01,159.1300048828125,174.0500030517578,156.09500122070312,172.63999938964844,172.63999938964844,4985740000
1988-03-01,172.63999938964844,182.73500061035156,170.52499389648438,173.25999450683594,173.25999450683594,6309760000
1988-04-01,173.25999450683594,180.91000366210938,170.13999938964844,175.9199981689453,175.9199981689453,5004480000
1988-05-01,175.93499755859375,180.10499572753906,166.76499938964844,173.34500122070312,173.34500122070312,4934680000
1988-06-01,173.48500061035156,189.34500122070312,173.48500061035156,189.02499389648438,189.02499389648438,6192080000
1988-07-01,189.22999572753906,192.77000427246094,176.3800048828125,181.16000366210938,181.16000366210938,5219260000
1988-08-01,181.15499877929688,182.19000244140625,168.85000610351562,170.9949951171875,170.9949951171875,5181960000
1988-09-01,170.93499755859375,180.30999755859375,167.1699981689453,179.36500549316406,179.36500549316406,4688240000
1988-10-01,179.2899932861328,180.52499389648438,172.80999755859375,174.77999877929688,174.77999877929688,4993060000
1988-11-01,174.77499389648438,175.6199951171875,162.65499877929688,169.18499755859375,169.18499755859375,4571700000
1988-12-01,169.13499450683594,177.86000061035156,168.73500061035156,177.41000366210938,177.41000366210938,4973480000
1989-01-01,177.39999389648438,186.69000244140625,172.94500732421875,186.47000122070312,186.47000122070312,5432020000
1989-02-01,186.47000122070312,192.9949951171875,183.22999572753906,183.7899932861328,183.7899932861328,5054900000
1989-03-01,183.7899932861328,187.68499755859375,178.96499633789062,185.8699951171875,185.8699951171875,5738540000
1989-04-01,185.8699951171875,200.4949951171875,184.4499969482422,200.47000122070312,200.47000122070312,5323760000
1989-05-01,200.47000122070312,215.18499755859375,199.14500427246094,214.5449981689453,214.5449981689453,6149740000
1989-06-01,214.5449981689453,220.80999755859375,201.99000549316406,204.5850067138672,204.5850067138672,6029400000
1989-07-01,204.5850067138672,214.3350067138672,203.61000061035156,214.27499389648438,214.27499389648438,4998880000
1989-08-01,214.27499389648438,222.14999389648438,211.63499450683594,222.0050048828125,222.0050048828125,6114140000
1989-09-01,222.0050048828125,227.63499450683594,219.7949981689453,226.38999938964844,226.38999938964844,5246020000
1989-10-01,226.4149932861328,238.84500122070312,213.60499572753906,222.61500549316406,222.61500549316406,6320940000
1989-11-01,222.61500549316406,225.75999450683594,214.65499877929688,224.44500732421875,224.44500732421875,5064380000
1989-12-01,224.44500732421875,227.85499572753906,208.68499755859375,223.8350067138672,223.8350067138672,5555460000
1990-01-01,223.8350067138672,228.94000244140625,196.68499755859375,201.94000244140625,201.94000244140625,6059660000
1990-02-01,201.94000244140625,210.43499755859375,200.40499877929688,207.9149932861328,207.9149932861328,4841840000
1990-03-01,207.9149932861328,220.13499450683594,206.52499389648438,213.14500427246094,213.14500427246094,5774900000
1990-04-01,213.14500427246094,218.25,202.97000122070312,205.81500244140625,205.81500244140625,5182900000
1990-05-01,205.81500244140625,237.9250030517578,205.81500244140625,236.14999389648438,236.14999389648438,6937140000
1990-06-01,236.14999389648438,242.84500122070312,231.75999450683594,238.4600067138672,238.4600067138672,6285380000
1990-07-01,238.4600067138672,246.81500244140625,221.36000061035156,223.38499450683594,223.38499450683594,5969720000
1990-08-01,223.38499450683594,224.625,177.05499267578125,193.61500549316406,193.61500549316406,6222640000
1990-09-01,193.61500549316406,195.875,169.3249969482422,177.05499267578125,177.05499267578125,4178800000
1990-10-01,177.05499267578125,189.05499267578125,162.5500030517578,172.55499267578125,172.55499267578125,5376960000
1990-11-01,172.55499267578125,193.05499267578125,170.8800048828125,192.5800018310547,192.5800018310547,4756460000
1990-12-01,192.65499877929688,203.48500061035156,192.65499877929688,200.52999877929688,200.52999877929688,5000200000
1991-01-01,200.52999877929688,232.6750030517578,190.89500427246094,232.4250030517578,232.4250030517578,5848720000
1991-02-01,232.4250030517578,252.85000610351562,231.27499389648438,250.11500549316406,250.11500549316406,6625920000
1991-03-01,250.11500549316406,267.92999267578125,247.7949981689453,264.9049987792969,264.9049987792969,7170420000
1991-04-01,264.9049987792969,286.04998779296875,259.3500061035156,263.6549987792969,263.6549987792969,8227960000
1991-05-01,263.6549987792969,279.0,256.5450134277344,279.0,279.0,6755440000
1991-06-01,279.0,281.4200134277344,249.78500366210938,254.19500732421875,254.19500732421875,5670960000
